1591488088.72	750	4	0.01	450283	2	-0.04300000000000004
1591488091.02	4300	7.743068	0.0	2123065	1773	0.75
1591488092.34	4300	10.421614	0.0	2177073	1280	4.3
1591488092.92	1850	13.835461	0.0	933276	531	-0.6000000000000001
1591488093.06	300	17.702512	0.0	163442	91	-1.25
1591488093.15	300	21.608156	0.0	126289	68	0.3
1591488093.27	300	25.489829	0.0	153295	98	0.3
1591488093.47	300	29.296913	0.0	173849	143	0.3
1591488093.72	750	33.036526	0.0	374758	222	0.3
1591488095.06	4300	35.699245	0.0	2169201	1300	0.75
1591488096.42	4300	38.33903	0.0	2173522	1327	4.3
1591488097.73	4300	41.032618	0.0	2102452	1269	4.3
1591488099.12	4300	43.642373	0.0	2209463	1358	4.3
1591488100.6	4300	46.159375	0.0	2275376	1448	4.3
1591488101.87	4300	48.888453	0.0	2005399	1243	4.3
1591488103.22	4300	51.543055	0.0	2152483	1316	4.3
1591488129.34	4300	59.989294	0.0	2147852	1716	4.3
